CORE,,,,,,,,,,,,,,,,,,
VSTDWM16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
VSTDWDM16,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
VSTDWDM32,VLDST1/VLDST2,1,VR:2,,,AR+OR/IMM,1,1,,,,,,,,,,
VFMULH,VMAC1/VMAC2/VMAC3/VMAC0,4,VR,VR,,VR,1,1,,,,,,,,,,
VFMULS32,VMAC1/VMAC2/VMAC3/VMAC0,4,VR,VR,,VR,1,1,,,,,,,,,,
VFMULAH,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFMULAS32,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFMULBH,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFMULBS32,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,VR,VR,1,1,,,,,,,,,,
VFDOT16,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,,VR,1,1,,,,,,,,,,
VFCMUL16,VMAC1/VMAC2/VMAC3/VMAC0,6,VR,VR,,VR,1,1,,,,,,,,,,
VMULISU16,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VMULIS16,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VMULIU16,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULISU,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULIS,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULIU,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,,VR,1,1,输入3与输出寄存器必须一致,,,,,,,,,
VMULSU16,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULS16,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULU16,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULSU,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,输入3与输出寄存器必须一致,,,,,,,,,
VMULS,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,,,,,,,,,,
VMULU,VMAC1/VMAC2/VMAC3,4,VR/IMM,VR,,VR:2,1,2,,,,,,,,,,
VMULAUS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULASU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULAU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULAS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBUS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBSU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBU16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VMULBS16T,VMAC1/VMAC2/VMAC3,3,VR/IMM,VR,VR,VR,1,1,,,,,,,,,,
VDOTP2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPN2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPNRSU2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPNRUS2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPRSU2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VDOTPRUS2,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VCMUL16T,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR:2,1,2,,,,,,,,,,
VCMULR16T,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VCMULRI16T,VMAC1/VMAC2/VMAC3,4,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPEH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPES32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPGH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPGS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPLH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFCMPLS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFHINT,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFSINT32,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFHTRU,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFSTRU32,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFINTH,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFINTHU,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFINTS32,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFINTSU32,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFSPHP,VMAC1/VMAC2/VMAC3,3,VR,,,VR,1,1,,,,,,,,,,
VFHPSP,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFHPHSP,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFEXTH16L,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFEXTH16H,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFP16toBF16,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VBF16toFP16,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFMANH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFMANS32,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFLOGH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFLOGS32,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFABSH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFABSS32,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFRSQH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFRSQS32,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFRCPH,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFRCPS32,VMAC1/VMAC2/VMAC3,1,VR,,,VR,1,1,,,,,,,,,,
VFMAXS32,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFMAXH,VMAC1/VMAC2/VMAC3,1,VR,VR,,VR,1,1,,,,,,,,,,
VFADDH,VMAC1/VMAC2/VMAC3,3,VR,VR,,VR,1,1,,,,,,,,,,
VFADDS32,VMAC1/VMAC2/VMAC3,3,VR,VR,,VR,1,1,,,,,,,,,,
VFSUBH,VMAC1/VMAC2/VMAC3,3,VR,VR,,VR,1,1,,,,,,,,,,
VFSUBS32,VMAC1/VMAC2/VMAC3,3,VR,VR,,VR,1,1,,,,,,,,,,
VADD,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VADDU,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VADD16,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VADDU16,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUB,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUBU,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUBC,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VSUB16,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUBU16,VMAC1/VMAC2/VMAC3,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUBC16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VADD.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VADDU.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VADD16.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VADDU16.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUB.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUBU.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUB16.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSUBU16.L,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSAT,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VSAT16,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VNEG,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VNEG16,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VABS,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VABS16,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VMAX,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMAXU,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMAX16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMAXU16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMIN,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMINU,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMIN16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VMINU16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VEQ,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VLT,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VLTU,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VEQ16,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VLT16,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VLTU16,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VMOV,VMAC1/VMAC2/VMAC3/VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VMVCGC,VMAC0,-1,VR,,,CVR,1,3,,,,,,,,,,
VMVCGC,VMAC0,1,VR,,,/VST/VFCR/VECR/,1,1,,,,,,,,,,
VMVCGC,VMAC0,3,VR,,,/SVR/,1,3,,,,,,,,,,
VMVCCG,VMAC0,-1,CVR,,,VR,1,2,,,,,,,,,,
VMVCCG,VMAC0,1,/VST/VFCR/VECR/,,,VR,1,1,,,,,,,,,,
VMVCCG,VMAC0,2,/SVR/,,,VR,1,2,,,,,,,,,,
VMOVIL,VMAC0,1,IMM,,,VR,1,1,,,,,,,,,,
VMOVIH,VMAC0,1,IMM,,,VR,1,1,,,,,,,,,,
VMOVILH,VMAC0,1,IMM,,,VR,1,1,,,,,,,,,,
VAND,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VOR,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VXOR,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VNOT,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VLZD,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VLZD16,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VSHFLL16,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSHFLL,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSHFLR16,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSHFLR,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSHFAR16,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VSHFAR,VMAC0,1,VR/IMM,VR,,VR,1,1,,,,,,,,,,
VBCLR16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBCLR,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBSET16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBSET,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBEX16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBEX,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBTST16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBTST,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBEXT16,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBEXT,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBEXT16U,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBEXTU,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBCOB32,VMAC0,1,VR,VR,VR,VR,1,1,,,,,,,,,,
VCROSS,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VDCRS,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VBALE2,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBALE2H,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBALE2LH,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBALE2HL,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBALE4H,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VBALE4L,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VSBALE2,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VSBALE4,VMAC0,1,VR,VR,,VR,1,1,,,,,,,,,,
VUBALE4H,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VUBALE4L,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VITL2,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VITL4,VMAC0,1,VR,,,VR,1,1,,,,,,,,,,
VSHUFH,VMAC0,3,VR,VR,,VR,1,1,,,,,,,,,,
VSHUFW,VMAC0,3,VR,VR,,VR,1,1,,,,,,,,,,
VREDUC2,VMAC0,4,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC4,VMAC0,5,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC8,VMAC0,6,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC16,VMAC0,7,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC2INC,VMAC0,4,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC4INC,VMAC0,5,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC8INC,VMAC0,6,VR,IMM,IMM,VR,1,1,,,,,,,,,,
VREDUC16INC,VMAC0,7,VR,IMM,IMM,VR,1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FUNC_UNIT,,,,,,,,,,,,,,,,,,
SMAC1,0,,,,,,,,,,,,,,,,,
SMAC2,1,,,,,,,,,,,,,,,,,
SIEU,2,,,,,,,,,,,,,,,,,
SLDST,3,,,,,,,,,,,,,,,,,
SBR,4,,,,,,,,,,,,,,,,,
VMAC0,5,,,,,,,,,,,,,,,,,
VMAC1,6,,,,,,,,,,,,,,,,,
VMAC2,7,,,,,,,,,,,,,,,,,
VMAC3,8,,,,,,,,,,,,,,,,,
VLDST1,9,,,,,,,,,,,,,,,,,
VLDST2,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
R_CTRL,,,,,,,,,,,,,,,,,,
SVR0,,,,,,,,,,,,,,,,,,
SVR1,,,,,,,,,,,,,,,,,,
SVR2,,,,,,,,,,,,,,,,,,
SVR3,,,,,,,,,,,,,,,,,,
SVR4,,,,,,,,,,,,,,,,,,
SVR5,,,,,,,,,,,,,,,,,,
SVR6,,,,,,,,,,,,,,,,,,
SVR7,,,,,,,,,,,,,,,,,,
SVR8,,,,,,,,,,,,,,,,,,
SVR9,,,,,,,,,,,,,,,,,,
SVR10,,,,,,,,,,,,,,,,,,
SVR11,,,,,,,,,,,,,,,,,,
SVR12,,,,,,,,,,,,,,,,,,
SVR13,,,,,,,,,,,,,,,,,,
SVR14,,,,,,,,,,,,,,,,,,
SVR15,,,,,,,,,,,,,,,,,,
SST,,,,,,,,,,,,,,,,,,
SCR,,,,,,,,,,,,,,,,,,
SFCR1,,,,,,,,,,,,,,,,,,
SFCR2,,,,,,,,,,,,,,,,,,
SECR,,,,,,,,,,,,,,,,,,
VCR,,,,,,,,,,,,,,,,,,
VLR,,,,,,,,,,,,,,,,,,
SMR,,,,,,,,,,,,,,,,,,
SAMR,,,,,,,,,,,,,,,,,,
IER,,,,,,,,,,,,,,,,,,
IFR,,,,,,,,,,,,,,,,,,
ICR,,,,,,,,,,,,,,,,,,
IRRL,,,,,,,,,,,,,,,,,,
IRRH,,,,,,,,,,,,,,,,,,
ISTPL,,,,,,,,,,,,,,,,,,
ISTPH,,,,,,,,,,,,,,,,,,
EER,,,,,,,,,,,,,,,,,,
EFR,,,,,,,,,,,,,,,,,,
ECR,,,,,,,,,,,,,,,,,,
ERRL,,,,,,,,,,,,,,,,,,
ERRH,,,,,,,,,,,,,,,,,,
ESTPL,,,,,,,,,,,,,,,,,,
ESTPH,,,,,,,,,,,,,,,,,,
BRReg,,,,,,,,,,,,,,,,,,
CGCR,,,,,,,,,,,,,,,,,,
CVCCR,,,,,,,,,,,,,,,,,,
STPR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
VR_CTRL,,,,,,,,,,,,,,,,,,
SVR,,,,,,,,,,,,,,,,,,
VST,,,,,,,,,,,,,,,,,,
VFCR1,,,,,,,,,,,,,,,,,,
VFCR2,,,,,,,,,,,,,,,,,,
VFCR3,,,,,,,,,,,,,,,,,,
VECR,,,,,,,,,,,,,,,,,,
VFCR0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
REG_AMOUNT,,,,,,,,,,,,,,,,,,
R,64,,,,,,,,,,,,,,,,,
VR,64,,,,,,,,,,,,,,,,,
SAR,8,,,,,,,,,,,,,,,,,
VAR,8,,,,,,,,,,,,,,,,,
SOR,8,,,,,,,,,,,,,,,,,
VOR,8,,,,,,,,,,,,,,,,,
R_COND,3,,,,,,,,,,,,,,,,,
VR_COND,3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
REG_RES,,,,,,,,,,,,,,,,,,
R,4,5,6,7,30,31,32,33,34,35,36,37,38,39,40,41,62,63
VR,,,,,,,,,,,,,,,,,,
SAR,8,9,14,15,,,,,,,,,,,,,,
VAR,7,,,,,,,,,,,,,,,,,
SOR,8,9,10,15,,,,,,,,,,,,,,
VOR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
REG_SPEC,,,,,,,,,,,,,,,,,,
IN,10,24,,,,,,,,,,,,,,,,
OUT,10,,,,,,,,,,,,,,,,,
RETURN,62,,,,,,,,,,,,,,,,,
S_STACK,15,,,,,,,,,,,,,,,,,
V_STACK,7,,,,,,,,,,,,,,,,,
